field,precision,recall,f1,accuracy,non_null_accuracy,total_samples,non_null_samples,null_samples,tp,tn,fp,fn
first_name,0.9700854700854701,0.9659574468085106,0.9680170575692963,0.8241379310344827,0.8376383763837638,290,271,19,227,12,7,8
family_name,0.9733333333333334,0.9521739130434783,0.9626373626373628,0.7896551724137931,0.7992700729927007,290,274,16,219,10,6,11
title_name,0.7515527950310559,0.9097744360902256,0.8231292517006802,0.8103448275862069,0.8897058823529411,290,136,154,121,114,40,12
address_street,0.9742268041237113,0.9642857142857143,0.9692307692307692,0.7172413793103448,0.7105263157894737,290,266,24,189,19,5,7
address_house_no,0.9710743801652892,0.9670781893004116,0.9690721649484535,0.8827586206896552,0.8969465648854962,290,262,28,235,21,7,8
address_additional,0.0,0.0,0.0,0.9793103448275862,0.0,290,5,285,0,284,1,5
address_zip,0.98,0.98,0.98,0.9172413793103448,0.928030303030303,290,264,26,245,21,5,5
address_city,0.9813953488372092,0.9547511312217195,0.9678899082568808,0.7896551724137931,0.7873134328358209,290,268,22,211,18,4,10
SV_number,0.8848920863309353,0.8848920863309353,0.8848920863309353,0.6793103448275862,0.615,290,200,90,123,74,16,16
tax_id,0.9290322580645162,0.9290322580645162,0.9290322580645162,0.7551724137931034,0.7058823529411765,290,204,86,144,75,11,11
salary_month,0.9523809523809523,0.9282700421940928,0.9401709401709402,0.8241379310344827,0.8461538461538461,290,260,30,220,19,11,17
gross_payment,0.9640718562874252,0.8846153846153846,0.9226361031518626,0.7965517241379311,0.7523364485981309,290,214,76,161,70,6,21
net_payment,0.9385474860335196,0.9081081081081082,0.9230769230769231,0.7827586206896552,0.7636363636363637,290,220,70,168,59,11,17
real_payment,0.869281045751634,0.8364779874213837,0.8525641025641026,0.7482758620689656,0.7150537634408602,290,186,104,133,84,20,26
bank_account,0.8725490196078431,0.956989247311828,0.9128205128205128,0.7103448275862069,0.55625,290,160,130,89,117,13,4
bank_name,0.8586956521739131,0.7745098039215687,0.8144329896907218,0.7172413793103448,0.5337837837837838,290,148,142,79,129,13,23
company_name,0.12903225806451613,0.125,0.12698412698412698,0.7724137931034483,0.09302325581395349,290,43,247,4,220,27,28
